id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt,maquina,not_sequence,inicio,fim
7177,146035,2025-09-30,11,5135,7,841,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 05:47:00,2025-09-29 05:53:00
7178,146035,2025-09-30,11,5135,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 05:53:00,2025-09-29 06:04:00
7487,146507,2025-10-01,11,4292,1,1755,coldboxsoprado,sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 06:04:00,2025-09-29 07:46:00
7137,145268,2025-09-29,12,5134,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11.0,2025-09-25,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 07:46:00,2025-09-29 07:57:00
7165,145799,2025-10-01,12,4621,20,2629,coldboxsoprado,sopradora,Silica,2,3,peça,3,1,6,0,18,6,1,9.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 07:57:00,2025-09-29 08:06:00
7191,146243,2025-10-01,13,4755,2,117,coldboxsoprado,sopradora,Silica,6,1,peça,2,1,20,0,20,10,1,14.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 08:06:00,2025-09-29 08:20:00
7192,146243,2025-10-01,13,4755,3,2514,coldboxsoprado,sopradora,Silica,3,1,peça,4,1,20,19,1,0,1,0.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 08:20:00,2025-09-29 08:20:00
7386,146462,2025-09-30,13,4805,3,2692,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 08:20:00,2025-09-29 08:26:00
7387,146462,2025-09-30,13,4805,4,2693,coldboxsoprado,sopradora,Silica,1,4,peça,4,1,8,0,32,8,1,11.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 08:26:00,2025-09-29 08:37:00
7388,146462,2025-09-30,13,4805,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,8,0,12,4,1,6.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 08:37:00,2025-09-29 08:43:00
7138,145269,2025-10-01,14,5134,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 08:43:00,2025-09-29 08:54:00
7181,146057,2025-09-30,14,4668,1,2578,coldboxsoprado,sopradora,Silica,7,1,peça,1,1,40,0,40,40,1,57.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 08:54:00,2025-09-29 09:51:00
7182,146057,2025-09-30,14,4668,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,40,0,30,10,1,14.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 09:51:00,2025-09-29 10:05:00
7243,146376,2025-10-01,15,4689,4,386,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:05:00,2025-09-29 10:08:00
7244,146376,2025-10-01,15,4689,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:08:00,2025-09-29 10:11:00
7313,146414,2025-10-01,15,4690,4,385,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:11:00,2025-09-29 10:14:00
7314,146414,2025-10-01,15,4690,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:14:00,2025-09-29 10:17:00
7513,146812,2025-09-29,15,4835,2,2708,coldboxsoprado,sopradora,Silica,3,1,peça,2,2,40,27,13,7,1,9.0,2025-09-25,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:17:00,2025-09-29 10:26:00
7514,146812,2025-09-29,15,4835,3,2709,coldboxsoprado,sopradora,Silica,1,1,peça,2,1,40,27,13,7,1,9.0,2025-09-25,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:26:00,2025-09-29 10:35:00
7145,145489,2025-09-30,16,4759,20,2629,coldboxsoprado,sopradora,Silica,2,3,peça,3,1,6,0,18,6,1,9.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:35:00,2025-09-29 10:44:00
7529,146831,2025-09-29,16,4836,2,2708,coldboxsoprado,sopradora,Silica,3,1,peça,2,2,40,0,40,20,1,28.0,2025-09-25,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 10:44:00,2025-09-29 11:12:00
