id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt
7202,146259,2025-10-06,15,945,2,91,Pep Set,Carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7203,146259,2025-10-06,15,945,3,92,Pep Set,Carrossel,Silica,9,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7204,146259,2025-10-06,15,945,4,93,Pep Set,Carrossel,Silica,5,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7205,146260,2025-10-07,4,945,1,90,Pep Set,Carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7206,146260,2025-10-07,4,945,2,91,Pep Set,Carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7207,146260,2025-10-07,4,945,3,92,Pep Set,Carrossel,Silica,9,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7208,146260,2025-10-07,4,945,4,93,Pep Set,Carrossel,Silica,5,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7209,146281,2025-10-03,5,5219,25,\N,Cold Box Gasado,Cold box pequena,Silica,8,1,Molde,\N,0,500,0,5,\N,3,\N,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7210,146292,2025-10-06,6,947,1,87,Pep Set,Carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7211,146292,2025-10-06,6,947,2,88,Pep Set,Carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7212,146292,2025-10-06,6,947,3,89,Pep Set,Carrossel,Silica,9,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7213,146292,2025-10-06,6,947,4,94,Pep Set,Carrossel,Silica,5,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7214,146293,2025-10-07,7,947,1,87,Pep Set,Carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7215,146293,2025-10-07,7,947,2,88,Pep Set,Carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7216,146293,2025-10-07,7,947,3,89,Pep Set,Carrossel,Silica,9,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7217,146293,2025-10-07,7,947,4,94,Pep Set,Carrossel,Silica,5,1,peça,1,2,20,0,20,20,1,25,2025-10-03,2025-10-03,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7218,146298,2025-10-08,5,4748,1,2647,Pep Set,Carrossel,Silica,14,1,peça,1,1,32,0,32,32,1,40,2025-10-06,2025-10-06,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7219,146301,2025-10-02,9,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7220,146302,2025-10-06,4,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7221,146314,2025-10-03,7,4859,1,2735,Cold Box Soprado,Sopradora,Silica,1,1,peça,14,1,70,0,70,5,1,7,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7222,146314,2025-10-03,7,4859,2,2736,Cold Box Soprado,Sopradora,Silica,0,1,peça,9,1,70,0,70,8,1,11,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7223,146347,2025-10-01,8,2672,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,10,1,Molde,2,1,238,0,17,9,3,21,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
