"id","_kf_producao","datafusao","ordenacao","_kf_fichatecnica","caixa","_kf_macho","processo","recurso","areia","peso","qtd_machos","qtd_machos_por","figuras","qtd_replicas","qtd_op","qtd_realizada","qtd_pendente","qtd_moldes","tempo_ciclo","tempo_total","not_before_date","deadline","datahoraprocess","_kf_statusintegration","statusintegrationid","status_create_date","dt"
"28578","147042","2025-11-13","4","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28579","147043","2025-11-14","5","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28580","147043","2025-11-14","5","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28581","147043","2025-11-14","5","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28582","147043","2025-11-14","5","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28583","147043","2025-11-14","5","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28584","147070","2025-11-10","1","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","4","4","4","28","112","2025-11-04","2025-11-06","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28585","147071","2025-11-10","8","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-04","2025-11-06","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28586","147072","2025-11-11","12","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28587","147073","2025-11-11","3","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28588","147074","2025-11-12","6","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28589","147075","2025-11-12","3","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28590","147075","2025-11-12","3","4805","6","2695","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
