_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline
145706,8/21/2025,2,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145567,8/21/2025,3,5090,1,2885,Pep Set,Carrossel,Silica,"1,4","  1,00 ",Peça,1,1,80,0,80,  80 ,  1 ,  100 ,8/15/2025,8/19/2025
145567,8/21/2025,3,5090,2,2886,Pep Set,Carrossel,Silica,3,"  1,00 ",Peça,1,1,80,0,80,  80 ,  1 ,  100 ,8/15/2025,8/19/2025
144268,8/21/2025,4,4835,1,2707,Cold Box Soprado,Sopradora,Silica,  4 ,  1 ,peça,4,2,40,0,  40 ,  10 ,  1 ,  14 ,8/15/2025,8/19/2025
145149,8/21/2025,6,4858,1,2735,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,14,1,70,0,  70 ,  5 ,  1 ,  7 ,8/15/2025,8/19/2025
145149,8/21/2025,6,4858,2,2736,Cold Box Soprado,Sopradora,Silica,  0 ,  1 ,peça,9,1,70,0,  70 ,  8 ,  1 ,  11 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,3,2692,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,4,2693,Cold Box Soprado,Sopradora,Silica,  1 ,  4 ,peça,4,1,8,0,  32 ,  8 ,  1 ,  11 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,6,2695,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,1,1293,Pep Set,Chão,Silica areia nova,  36 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,2,1325,Pep Set,Chão,Silica areia nova,  33 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,3,1326,Pep Set,Chão,Silica areia nova,  39 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,4,1327,Pep Set,Chão,Silica areia nova,  13 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146296,8/21/2025,8,4746,1,2666,Cold Box Gasado,Cold Box 4,Silica areia nova,"3,5","  1,00 ",peça,1,1,16,0,16,  16 ,  3 ,  40 ,8/15/2025,8/19/2025
