OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id,obs
146779,1.0,2301.0,coldboxgasado_coldboxpequena,2025-09-30 08:35:00,2025-09-30,2025-09-30,0,205,2025-09-30 05:10:00,15,
146879,1.0,1479.0,coldboxgasado_coldboxpequena,2025-10-01 07:35:00,2025-10-01,2025-10-01,0,45,2025-10-01 06:50:00,15,
146943,1.0,679.0,coldboxgasado_coldboxpequena,2025-10-03 08:55:00,2025-10-03,2025-10-03,0,30,2025-10-03 08:25:00,15,
146973,1.0,347.0,coldboxgasado_coldboxpequena,2025-10-01 10:10:00,2025-10-01,2025-10-01,0,155,2025-10-01 07:35:00,15,
146973,2.0,348.0,coldboxgasado_coldboxpequena,2025-10-01 06:20:00,2025-10-01,2025-10-01,0,30,2025-10-01 05:50:00,15,
147247,1.0,2776.0,coldboxgasado_coldboxpequena,2025-10-03 06:10:00,2025-10-03,2025-10-03,0,130,2025-10-03 04:00:00,15,
147247,21.0,2905.0,coldboxgasado_coldboxpequena,2025-10-03 11:40:00,2025-10-03,2025-10-03,0,15,2025-10-03 11:25:00,15,
147255,24.0,2908.0,coldboxgasado_coldboxpequena,2025-10-02 04:05:00,2025-10-02,2025-10-02,0,5,2025-10-02 04:00:00,15,
147288,23.0,2907.0,coldboxgasado_coldboxpequena,2025-10-03 21:10:00,2025-10-03,2025-10-03,0,30,2025-10-03 20:40:00,15,
147295,23.0,2907.0,coldboxgasado_coldboxpequena,2025-10-02 05:20:00,2025-10-02,2025-10-02,0,25,2025-10-02 04:55:00,15,
147333,1.0,2504.0,coldboxgasado_coldboxpequena,2025-10-03 22:30:00,2025-10-03,2025-10-03,0,15,2025-10-03 22:15:00,15,
146375,1.0,113.0,coldboxgasado_coldbox4,2025-09-30 14:20:00,2025-09-30,2025-09-30,0,25,2025-09-30 13:55:00,15,
146378,1.0,113.0,coldboxgasado_coldbox4,2025-09-30 13:55:00,2025-09-30,2025-09-30,0,25,2025-09-30 13:30:00,15,
146379,1.0,113.0,coldboxgasado_coldbox4,2025-09-30 14:45:00,2025-09-30,2025-09-30,0,25,2025-09-30 14:20:00,15,
146380,1.0,113.0,coldboxgasado_coldbox4,2025-10-01 15:10:00,2025-10-01,2025-10-01,0,25,2025-10-01 14:45:00,15,
146381,1.0,113.0,coldboxgasado_coldbox4,2025-10-01 14:20:00,2025-10-01,2025-10-01,0,25,2025-10-01 13:55:00,15,
146382,1.0,113.0,coldboxgasado_coldbox4,2025-10-02 13:55:00,2025-10-02,2025-10-02,0,25,2025-10-02 13:30:00,15,
146383,1.0,113.0,coldboxgasado_coldbox4,2025-10-02 14:45:00,2025-10-02,2025-10-02,0,25,2025-10-02 14:20:00,15,
146384,1.0,113.0,coldboxgasado_coldbox4,2025-10-03 15:10:00,2025-10-03,2025-10-03,0,25,2025-10-03 14:45:00,15,
146385,1.0,113.0,coldboxgasado_coldbox4,2025-10-03 13:55:00,2025-10-03,2025-10-03,0,25,2025-10-03 13:30:00,15,
146413,1.0,113.0,coldboxgasado_coldbox4,2025-09-30 16:50:00,2025-09-30,2025-09-30,0,25,2025-09-30 16:25:00,15,
146416,1.0,113.0,coldboxgasado_coldbox4,2025-09-30 17:35:00,2025-09-30,2025-09-30,0,20,2025-09-30 17:15:00,15,
146417,1.0,113.0,coldboxgasado_coldbox4,2025-09-30 17:15:00,2025-09-30,2025-09-30,0,25,2025-09-30 16:50:00,15,
146418,1.0,113.0,coldboxgasado_coldbox4,2025-10-01 14:45:00,2025-10-01,2025-10-01,0,25,2025-10-01 14:20:00,15,
146419,1.0,113.0,coldboxgasado_coldbox4,2025-10-01 13:55:00,2025-10-01,2025-10-01,0,25,2025-10-01 13:30:00,15,
146420,1.0,113.0,coldboxgasado_coldbox4,2025-10-02 15:10:00,2025-10-02,2025-10-02,0,25,2025-10-02 14:45:00,15,
146421,1.0,113.0,coldboxgasado_coldbox4,2025-10-02 14:20:00,2025-10-02,2025-10-02,0,25,2025-10-02 13:55:00,15,
146422,1.0,113.0,coldboxgasado_coldbox4,2025-10-03 14:45:00,2025-10-03,2025-10-03,0,25,2025-10-03 14:20:00,15,
146423,1.0,113.0,coldboxgasado_coldbox4,2025-10-03 14:20:00,2025-10-03,2025-10-03,0,25,2025-10-03 13:55:00,15,
