OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id
146831,1.0,2715.0,coldboxsoprado_sopradora,2025-09-25 08:29:00,2025-09-25,2025-09-26,A,10,2025-09-25 08:19:00,13
146812,2.0,2708.0,coldboxsoprado_sopradora,2025-09-25 08:59:00,2025-09-25,2025-09-26,A,20,2025-09-25 08:39:00,13
146812,3.0,2709.0,coldboxsoprado_sopradora,2025-09-25 10:05:00,2025-09-25,2025-09-26,A,20,2025-09-25 09:45:00,13
146831,2.0,2708.0,coldboxsoprado_sopradora,2025-09-25 10:25:00,2025-09-25,2025-09-26,A,20,2025-09-25 10:05:00,13
146831,3.0,2709.0,coldboxsoprado_sopradora,2025-09-25 10:55:00,2025-09-25,2025-09-26,A,30,2025-09-25 10:25:00,13
146505,1.0,1755.0,coldboxsoprado_sopradora,2025-09-25 12:47:00,2025-09-25,2025-09-26,B,82,2025-09-25 11:25:00,13
146371,4.0,386.0,coldboxsoprado_sopradora,2025-09-26 04:02:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:00:00,13
146372,4.0,386.0,coldboxsoprado_sopradora,2025-09-26 04:04:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:02:00,13
146409,4.0,385.0,coldboxsoprado_sopradora,2025-09-26 04:06:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:04:00,13
146410,4.0,385.0,coldboxsoprado_sopradora,2025-09-26 04:08:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:06:00,13
146371,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:20:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:18:00,13
146372,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:22:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:20:00,13
146409,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:24:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:22:00,13
146410,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:26:00,2025-09-26,2025-09-27,A,2,2025-09-26 04:24:00,13
